USUARIO;Conexión;Desconexión;Horas conexión;Servicio
u405402;5/9/2025 16:00;5/9/2025 22:04;06:04:18;RETENCION CABLE
u925873;5/9/2025 07:57;5/9/2025 14:00;06:03:00;RETENCION CABLE
u401401;5/9/2025 08:00;5/9/2025 14:02;06:01:23;RETENCION CABLE
u939700;5/9/2025 15:57;5/9/2025 22:01;06:03:30;RETENCION CABLE
u614832;5/9/2025 15:01;5/9/2025 20:27;05:25:55;RETENCION CABLE
u614832;5/9/2025 20:27;5/9/2025 21:00;00:32:56;RETENCION CABLE
u403568;5/9/2025 08:03;5/9/2025 15:01;06:57:13;RETENCION CABLE
u930002;5/9/2025 07:58;5/9/2025 14:02;06:03:26;RETENCION CABLE
u939164;5/9/2025 08:00;5/9/2025 14:00;06:00:12;RETENCION CABLE
u405397;5/9/2025 15:01;5/9/2025 21:00;05:58:49;RETENCION CABLE
u405127;5/9/2025 08:28;5/9/2025 14:31;06:02:27;RETENCION CABLE
u928733;5/9/2025 16:03;5/9/2025 16:34;00:31:00;RETENCION CABLE
u928733;5/9/2025 16:34;5/9/2025 19:39;03:04:47;RETENCION CABLE
u939771;5/9/2025 16:00;5/9/2025 22:00;06:00:05;RETENCION CABLE
u935107;5/9/2025 08:00;5/9/2025 10:00;01:59:58;RETENCION CABLE
u935107;5/9/2025 16:01;5/9/2025 21:00;04:59:10;RETENCION CABLE
u403012;5/9/2025 07:59;5/9/2025 14:00;06:00:25;RETENCION CABLE
u400345;5/9/2025 07:59;5/9/2025 14:38;06:38:47;RETENCION CABLE
u921825;5/9/2025 08:59;5/9/2025 10:00;01:00:08;RETENCION CABLE
u921825;5/9/2025 15:58;5/9/2025 21:05;05:06:33;RETENCION CABLE
u403570;5/9/2025 08:00;5/9/2025 14:00;05:59:51;RETENCION CABLE
u625958;5/9/2025 08:00;5/9/2025 14:01;06:00:50;RETENCION CABLE
u927123;5/9/2025 08:55;5/9/2025 09:05;00:09:40;RETENCION CABLE
u927123;5/9/2025 09:07;5/9/2025 11:01;01:53:51;RETENCION CABLE
u927123;5/9/2025 11:09;5/9/2025 15:10;04:00:27;RETENCION CABLE
u405404;5/9/2025 16:15;5/9/2025 16:22;00:07:08;RETENCION CABLE
u405404;5/9/2025 16:23;5/9/2025 22:05;05:41:49;RETENCION CABLE
u939751;5/9/2025 07:59;5/9/2025 13:59;05:59:56;RETENCION CABLE
u934788;5/9/2025 15:00;5/9/2025 21:01;06:00:14;RETENCION CABLE
u928572;5/9/2025 08:44;5/9/2025 08:44;00:00:04;RETENCION CABLE
u928572;5/9/2025 09:00;5/9/2025 09:03;00:03:09;RETENCION CABLE
u928572;5/9/2025 09:03;5/9/2025 09:08;00:04:52;RETENCION CABLE
u928572;5/9/2025 09:08;5/9/2025 09:15;00:07:17;RETENCION CABLE
u928572;5/9/2025 09:15;5/9/2025 10:07;00:51:37;RETENCION CABLE
u928572;5/9/2025 17:04;5/9/2025 17:06;00:02:17;RETENCION CABLE
u928572;5/9/2025 17:09;5/9/2025 22:17;05:08:18;RETENCION CABLE
u405398;5/9/2025 15:07;5/9/2025 21:00;05:52:45;RETENCION CABLE
u578398;5/9/2025 08:01;5/9/2025 14:02;06:00:51;RETENCION CABLE
u936818;5/9/2025 09:01;5/9/2025 09:12;00:11:28;RETENCION CABLE
u936818;5/9/2025 16:00;5/9/2025 21:37;05:36:52;RETENCION CABLE
u405401;5/9/2025 15:54;5/9/2025 15:54;00:00:05;RETENCION CABLE
u405401;5/9/2025 16:00;5/9/2025 19:47;03:47:35;RETENCION CABLE
u405401;5/9/2025 19:56;5/9/2025 21:23;01:26:06;RETENCION CABLE
u405401;5/9/2025 21:25;5/9/2025 21:30;00:04:48;RETENCION CABLE
u405401;5/9/2025 21:32;5/9/2025 22:00;00:27:56;RETENCION CABLE
u403586;5/9/2025 15:00;5/9/2025 21:00;06:00:17;RETENCION CABLE
u932906;5/9/2025 09:01;5/9/2025 15:00;05:59:38;RETENCION CABLE
u561875;5/9/2025 08:30;5/9/2025 14:31;06:01:22;RETENCION CABLE
u561875;5/9/2025 17:35;5/9/2025 17:47;00:11:37;RETENCION CABLE
u925305;5/9/2025 08:01;5/9/2025 14:01;05:59:25;RETENCION CABLE
u925305;5/9/2025 14:05;5/9/2025 14:30;00:24:15;RETENCION CABLE
u925305;5/9/2025 18:33;5/9/2025 21:02;02:28:51;RETENCION CABLE
u401134;5/9/2025 15:18;5/9/2025 21:11;05:53:09;RETENCION CABLE
u939746;5/9/2025 08:11;5/9/2025 14:04;05:53:16;RETENCION CABLE
u932961;5/9/2025 08:03;5/9/2025 14:02;05:58:59;RETENCION CABLE
u401139;5/9/2025 14:59;5/9/2025 21:02;06:02:39;RETENCION CABLE
u401143;5/9/2025 15:09;5/9/2025 22:00;06:51:20;RETENCION CABLE
u929678;5/9/2025 08:30;5/9/2025 14:31;06:01:02;RETENCION CABLE
u614946;5/9/2025 08:03;5/9/2025 08:58;00:55:21;RETENCION CABLE
u614946;5/9/2025 09:00;5/9/2025 09:45;00:45:07;RETENCION CABLE
u614946;5/9/2025 09:48;5/9/2025 13:13;03:25:22;RETENCION CABLE
u614946;5/9/2025 13:16;5/9/2025 14:01;00:45:40;RETENCION CABLE
u614946;5/9/2025 14:01;5/9/2025 14:10;00:09:00;RETENCION CABLE
u626769;5/9/2025 09:22;5/9/2025 15:14;05:51:30;RETENCION CABLE
u938098;5/9/2025 15:53;5/9/2025 15:53;00:00:23;RETENCION CABLE
u938098;5/9/2025 16:00;5/9/2025 16:03;00:03:00;RETENCION CABLE
u938098;5/9/2025 16:03;5/9/2025 22:00;05:56:33;RETENCION CABLE
u405949;5/9/2025 08:30;5/9/2025 14:31;06:01:49;RETENCION CABLE
u402299;5/9/2025 15:00;5/9/2025 21:01;06:00:28;RETENCION CABLE
u921805;5/9/2025 09:00;5/9/2025 15:01;06:01:46;RETENCION CABLE
u613651;5/9/2025 08:29;5/9/2025 14:30;06:00:16;RETENCION CABLE
u925429;5/9/2025 15:11;5/9/2025 21:14;06:02:59;RETENCION CABLE
u938619;5/9/2025 15:01;5/9/2025 18:33;03:32:11;RETENCION CABLE
u938619;5/9/2025 18:37;5/9/2025 19:51;01:14:48;RETENCION CABLE
u938619;5/9/2025 19:53;5/9/2025 21:03;01:10:02;RETENCION CABLE
u613626;5/9/2025 08:24;5/9/2025 09:04;00:39:25;RETENCION CABLE
u613626;5/9/2025 09:04;5/9/2025 09:44;00:40:46;RETENCION CABLE
u613626;5/9/2025 09:49;5/9/2025 14:42;04:53:20;RETENCION CABLE
u405402;6/9/2025 16:06;6/9/2025 21:12;05:05:54;RETENCION CABLE
u405402;6/9/2025 21:14;6/9/2025 22:01;00:47:13;RETENCION CABLE
u405397;6/9/2025 12:11;6/9/2025 12:14;00:02:23;RETENCION CABLE
u405397;6/9/2025 15:01;6/9/2025 16:21;01:20:10;RETENCION CABLE
u405397;6/9/2025 16:35;6/9/2025 21:00;04:24:48;RETENCION CABLE
u939771;6/9/2025 09:03;6/9/2025 15:00;05:56:55;RETENCION CABLE
u405132;6/9/2025 08:59;6/9/2025 15:00;06:00:07;RETENCION CABLE
u400345;6/9/2025 14:59;6/9/2025 21:00;06:01:22;RETENCION CABLE
u405126;6/9/2025 09:00;6/9/2025 10:07;01:06:50;RETENCION CABLE
u405126;6/9/2025 10:07;6/9/2025 14:57;04:49:37;RETENCION CABLE
u405404;6/9/2025 16:00;6/9/2025 22:00;05:59:26;RETENCION CABLE
u405130;6/9/2025 09:00;6/9/2025 15:00;05:59:55;RETENCION CABLE
u405398;6/9/2025 15:00;6/9/2025 21:00;05:59:19;RETENCION CABLE
u401334;6/9/2025 15:00;6/9/2025 21:00;06:00:04;RETENCION CABLE
u932961;6/9/2025 08:09;6/9/2025 08:59;00:50:31;RETENCION CABLE
u932961;6/9/2025 09:02;6/9/2025 09:03;00:00:41;RETENCION CABLE
u932961;6/9/2025 09:08;6/9/2025 09:21;00:12:58;RETENCION CABLE
u932961;6/9/2025 09:22;6/9/2025 14:16;04:54:25;RETENCION CABLE
u939690;6/9/2025 09:00;6/9/2025 15:02;06:02:25;RETENCION CABLE
u934724;6/9/2025 09:01;6/9/2025 15:05;06:03:44;RETENCION CABLE
u401338;6/9/2025 14:58;6/9/2025 21:00;06:02:03;RETENCION CABLE
u401332;6/9/2025 09:00;6/9/2025 09:58;00:57:21;RETENCION CABLE
u401332;6/9/2025 10:05;6/9/2025 15:00;04:54:58;RETENCION CABLE
u613626;6/9/2025 08:00;6/9/2025 08:28;00:28:49;RETENCION CABLE
u613626;6/9/2025 08:28;6/9/2025 13:56;05:27:17;RETENCION CABLE
u613626;6/9/2025 13:56;6/9/2025 14:01;00:05:27;RETENCION CABLE
u403568;7/9/2025 08:01;7/9/2025 12:01;03:59:50;RETENCION CABLE
u400345;7/9/2025 14:58;7/9/2025 21:00;06:01:45;RETENCION CABLE
u405126;7/9/2025 09:26;7/9/2025 15:00;05:33:39;RETENCION CABLE
u939751;7/9/2025 07:56;7/9/2025 11:02;03:05:38;RETENCION CABLE
u405130;7/9/2025 16:01;7/9/2025 22:02;06:01:09;RETENCION CABLE
u405401;7/9/2025 15:51;7/9/2025 17:23;01:32:10;RETENCION CABLE
u405401;7/9/2025 17:24;7/9/2025 17:55;00:30:21;RETENCION CABLE
u405401;7/9/2025 18:03;7/9/2025 18:19;00:16:05;RETENCION CABLE
u405401;7/9/2025 18:20;7/9/2025 19:44;01:23:40;RETENCION CABLE
u405401;7/9/2025 19:45;7/9/2025 21:06;01:20:58;RETENCION CABLE
u405401;7/9/2025 21:13;7/9/2025 21:25;00:12:30;RETENCION CABLE
u405401;7/9/2025 21:28;7/9/2025 22:00;00:31:39;RETENCION CABLE
u401334;7/9/2025 10:20;7/9/2025 11:15;00:54:56;RETENCION CABLE
u401334;7/9/2025 11:16;7/9/2025 15:59;04:43:41;RETENCION CABLE
u929678;7/9/2025 08:00;7/9/2025 14:00;06:00:24;RETENCION CABLE
u934724;7/9/2025 10:32;7/9/2025 15:04;04:31:41;RETENCION CABLE
u401338;7/9/2025 09:01;7/9/2025 15:00;05:59:41;RETENCION CABLE
u938098;7/9/2025 11:58;7/9/2025 11:58;00:00:03;RETENCION CABLE
u938098;7/9/2025 11:59;7/9/2025 15:01;03:01:03;RETENCION CABLE
u401332;7/9/2025 15:00;7/9/2025 16:21;01:20:28;RETENCION CABLE
u401332;7/9/2025 16:31;7/9/2025 18:12;01:40:44;RETENCION CABLE
u401332;7/9/2025 18:27;7/9/2025 21:20;02:52:58;RETENCION CABLE
u401332;7/9/2025 21:22;7/9/2025 22:00;00:37:39;RETENCION CABLE
u402299;7/9/2025 15:00;7/9/2025 21:01;06:01:14;RETENCION CABLE
u921805;7/9/2025 08:01;7/9/2025 08:10;00:08:37;RETENCION CABLE
u921805;7/9/2025 08:11;7/9/2025 14:11;06:00:06;RETENCION CABLE
u938619;7/9/2025 12:02;7/9/2025 15:16;03:13:27;RETENCION CABLE
u405402;4/9/2025 16:00;4/9/2025 19:45;03:45:00;RETENCION CABLE
u405402;4/9/2025 19:46;4/9/2025 22:00;02:13:57;RETENCION CABLE
u925873;4/9/2025 07:56;4/9/2025 14:00;06:03:50;RETENCION CABLE
u401401;4/9/2025 08:02;4/9/2025 14:01;05:59:09;RETENCION CABLE
u939700;4/9/2025 16:04;4/9/2025 22:02;05:58:03;RETENCION CABLE
u614832;4/9/2025 09:01;4/9/2025 15:01;06:00:04;RETENCION CABLE
u403568;4/9/2025 07:56;4/9/2025 14:00;06:03:42;RETENCION CABLE
u930002;4/9/2025 07:58;4/9/2025 08:52;00:54:08;RETENCION CABLE
u930002;4/9/2025 08:52;4/9/2025 14:00;05:07:33;RETENCION CABLE
u939164;4/9/2025 07:59;4/9/2025 14:00;06:00:43;RETENCION CABLE
u405397;4/9/2025 15:00;4/9/2025 21:01;06:01:29;RETENCION CABLE
u405127;4/9/2025 08:28;4/9/2025 14:30;06:01:14;RETENCION CABLE
u401338;4/9/2025 14:58;4/9/2025 21:00;06:02:03;RETENCION CABLE
u928733;4/9/2025 16:00;4/9/2025 21:10;05:09:55;RETENCION CABLE
u939771;4/9/2025 16:00;4/9/2025 22:01;06:01:08;RETENCION CABLE
u401332;4/9/2025 15:22;4/9/2025 21:00;05:38:04;RETENCION CABLE
u935107;4/9/2025 08:00;4/9/2025 14:04;06:04:07;RETENCION CABLE
u403012;4/9/2025 08:00;4/9/2025 08:01;00:01:34;RETENCION CABLE
u403012;4/9/2025 08:01;4/9/2025 14:05;06:03:17;RETENCION CABLE
u400345;4/9/2025 07:59;4/9/2025 14:00;06:00:56;RETENCION CABLE
u921825;4/9/2025 09:08;4/9/2025 15:00;05:51:46;RETENCION CABLE
u402299;4/9/2025 15:09;4/9/2025 21:10;06:00:21;RETENCION CABLE
u403570;4/9/2025 08:03;4/9/2025 14:03;05:59:51;RETENCION CABLE
u625958;4/9/2025 08:00;4/9/2025 14:01;06:00:46;RETENCION CABLE
u927123;4/9/2025 08:55;4/9/2025 12:50;03:55:20;RETENCION CABLE
u927123;4/9/2025 12:57;4/9/2025 15:06;02:08:31;RETENCION CABLE
u405404;4/9/2025 16:00;4/9/2025 22:06;06:05:36;RETENCION CABLE
u939751;4/9/2025 07:58;4/9/2025 13:10;05:12:33;RETENCION CABLE
u939751;4/9/2025 13:12;4/9/2025 14:03;00:51:02;RETENCION CABLE
u934788;4/9/2025 15:01;4/9/2025 21:01;05:59:48;RETENCION CABLE
u928572;4/9/2025 09:21;4/9/2025 15:14;05:52:38;RETENCION CABLE
u928572;4/9/2025 21:10;4/9/2025 21:10;00:00:02;RETENCION CABLE
u928572;4/9/2025 21:12;4/9/2025 22:12;01:00:25;RETENCION CABLE
u405398;4/9/2025 15:00;4/9/2025 21:01;06:00:51;RETENCION CABLE
u578398;4/9/2025 08:00;4/9/2025 15:00;06:59:52;RETENCION CABLE
u936818;4/9/2025 15:01;4/9/2025 21:00;05:59:43;RETENCION CABLE
u405401;4/9/2025 16:01;4/9/2025 16:04;00:03:18;RETENCION CABLE
u405401;4/9/2025 16:05;4/9/2025 22:00;05:55:13;RETENCION CABLE
u403586;4/9/2025 15:00;4/9/2025 21:00;05:59:35;RETENCION CABLE
u932906;4/9/2025 09:01;4/9/2025 15:01;06:00:25;RETENCION CABLE
u401334;4/9/2025 16:02;4/9/2025 22:00;05:58:09;RETENCION CABLE
u561875;4/9/2025 08:32;4/9/2025 09:02;00:30:05;RETENCION CABLE
u561875;4/9/2025 09:03;4/9/2025 14:31;05:27:54;RETENCION CABLE
