Fecha;Franja_horaria;Servicio;Cantidad_de_personas
1/9/2025;00:00;RETENCION CABLE;0
1/9/2025;00:30;RETENCION CABLE;0
1/9/2025;01:00;RETENCION CABLE;0
1/9/2025;01:30;RETENCION CABLE;0
1/9/2025;02:00;RETENCION CABLE;0
1/9/2025;02:30;RETENCION CABLE;0
1/9/2025;03:00;RETENCION CABLE;0
1/9/2025;03:30;RETENCION CABLE;0
1/9/2025;04:00;RETENCION CABLE;0
1/9/2025;04:30;RETENCION CABLE;0
1/9/2025;05:00;RETENCION CABLE;0
1/9/2025;05:30;RETENCION CABLE;0
1/9/2025;06:00;RETENCION CABLE;0
1/9/2025;06:30;RETENCION CABLE;0
1/9/2025;07:00;RETENCION CABLE;0
1/9/2025;07:30;RETENCION CABLE;0
1/9/2025;08:00;RETENCION CABLE;9
1/9/2025;08:30;RETENCION CABLE;17
1/9/2025;09:00;RETENCION CABLE;12
1/9/2025;09:30;RETENCION CABLE;12
1/9/2025;10:00;RETENCION CABLE;12
1/9/2025;10:30;RETENCION CABLE;12
1/9/2025;11:00;RETENCION CABLE;12
1/9/2025;11:30;RETENCION CABLE;12
1/9/2025;12:00;RETENCION CABLE;12
1/9/2025;12:30;RETENCION CABLE;12
1/9/2025;13:00;RETENCION CABLE;12
1/9/2025;13:30;RETENCION CABLE;12
1/9/2025;14:00;RETENCION CABLE;4
1/9/2025;14:30;RETENCION CABLE;5
1/9/2025;15:00;RETENCION CABLE;5
1/9/2025;15:30;RETENCION CABLE;5
1/9/2025;16:00;RETENCION CABLE;6
1/9/2025;16:30;RETENCION CABLE;6
1/9/2025;17:00;RETENCION CABLE;6
1/9/2025;17:30;RETENCION CABLE;6
1/9/2025;18:00;RETENCION CABLE;6
1/9/2025;18:30;RETENCION CABLE;6
1/9/2025;19:00;RETENCION CABLE;5
1/9/2025;19:30;RETENCION CABLE;5
1/9/2025;20:00;RETENCION CABLE;6
1/9/2025;20:30;RETENCION CABLE;6
1/9/2025;21:00;RETENCION CABLE;14
1/9/2025;21:30;RETENCION CABLE;14
1/9/2025;22:00;RETENCION CABLE;0
1/9/2025;22:30;RETENCION CABLE;0
1/9/2025;23:00;RETENCION CABLE;0
1/9/2025;23:30;RETENCION CABLE;0
2/9/2025;00:00;RETENCION CABLE;0
2/9/2025;00:30;RETENCION CABLE;0
2/9/2025;01:00;RETENCION CABLE;0
2/9/2025;01:30;RETENCION CABLE;0
2/9/2025;02:00;RETENCION CABLE;0
2/9/2025;02:30;RETENCION CABLE;0
2/9/2025;03:00;RETENCION CABLE;0
2/9/2025;03:30;RETENCION CABLE;0
2/9/2025;04:00;RETENCION CABLE;0
2/9/2025;04:30;RETENCION CABLE;0
2/9/2025;05:00;RETENCION CABLE;0
